"時間(秒)","総合COP左右X(cm)","総合COP前後Y(cm)","左プレートCOP左右X(cm)","左プレートCOP前後Y(cm)","左荷重(kgf)","右プレートCOP左右X(cm)","右プレートCOP前後Y(cm)","右荷重(kgf)","","","",""
2.530,-0.403,-4.978,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
2.540,-0.379,-4.970,"---.---","---.---",50.552,"---.---","---.---","---.---","","","",""
2.550,-0.360,-4.959,"---.---","---.---",50.557,"---.---","---.---","---.---","","","",""
2.560,-0.343,-4.933,"---.---","---.---",50.552,"---.---","---.---","---.---","","","",""
2.570,-0.328,-4.902,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
2.580,-0.316,-4.888,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
2.590,-0.309,-4.875,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
2.600,-0.297,-4.864,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
2.610,-0.290,-4.863,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
2.620,-0.283,-4.861,"---.---","---.---",50.503,"---.---","---.---","---.---","","","",""
2.630,-0.278,-4.862,"---.---","---.---",50.488,"---.---","---.---","---.---","","","",""
2.640,-0.275,-4.860,"---.---","---.---",50.498,"---.---","---.---","---.---","","","",""
2.650,-0.275,-4.857,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
2.660,-0.270,-4.854,"---.---","---.---",50.557,"---.---","---.---","---.---","","","",""
2.670,-0.258,-4.852,"---.---","---.---",50.591,"---.---","---.---","---.---","","","",""
2.680,-0.241,-4.853,"---.---","---.---",50.596,"---.---","---.---","---.---","","","",""
2.690,-0.227,-4.851,"---.---","---.---",50.562,"---.---","---.---","---.---","","","",""
2.700,-0.205,-4.853,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
2.710,-0.186,-4.859,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
2.720,-0.171,-4.855,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
2.730,-0.162,-4.855,"---.---","---.---",50.562,"---.---","---.---","---.---","","","",""
2.740,-0.159,-4.849,"---.---","---.---",50.576,"---.---","---.---","---.---","","","",""
2.750,-0.154,-4.841,"---.---","---.---",50.576,"---.---","---.---","---.---","","","",""
2.760,-0.157,-4.843,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
2.770,-0.157,-4.841,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
2.780,-0.162,-4.846,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
2.790,-0.162,-4.853,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
2.800,-0.155,-4.862,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
2.810,-0.150,-4.869,"---.---","---.---",50.484,"---.---","---.---","---.---","","","",""
2.820,-0.147,-4.878,"---.---","---.---",50.464,"---.---","---.---","---.---","","","",""
2.830,-0.143,-4.895,"---.---","---.---",50.464,"---.---","---.---","---.---","","","",""
2.840,-0.140,-4.909,"---.---","---.---",50.474,"---.---","---.---","---.---","","","",""
2.850,-0.138,-4.928,"---.---","---.---",50.503,"---.---","---.---","---.---","","","",""
2.860,-0.138,-4.945,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
2.870,-0.133,-4.960,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
2.880,-0.123,-4.972,"---.---","---.---",50.562,"---.---","---.---","---.---","","","",""
2.890,-0.113,-4.985,"---.---","---.---",50.567,"---.---","---.---","---.---","","","",""
2.900,-0.101,-4.996,"---.---","---.---",50.557,"---.---","---.---","---.---","","","",""
2.910,-0.094,-5.004,"---.---","---.---",50.552,"---.---","---.---","---.---","","","",""
2.920,-0.092,-5.008,"---.---","---.---",50.552,"---.---","---.---","---.---","","","",""
2.930,-0.092,-5.006,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
2.940,-0.087,-5.016,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
2.950,-0.085,-5.021,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
2.960,-0.087,-5.029,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
2.970,-0.089,-5.038,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
2.980,-0.101,-5.054,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
2.990,-0.109,-5.067,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
3.000,-0.111,-5.078,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
3.010,-0.121,-5.086,"---.---","---.---",50.498,"---.---","---.---","---.---","","","",""
3.020,-0.123,-5.098,"---.---","---.---",50.498,"---.---","---.---","---.---","","","",""
3.030,-0.135,-5.113,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
